Author Alias,Comment Age,Comment Text
@kh7688,3 months ,Murphy has been loyal to Nolan for nearly two decades. It's about time he was given his own film. This might just be the film that gets both these men their respective Oscars. No more than they deserve. Can't wait for this.
@dixonmixin10,2 weeks  ,"As someone with pretty severe ADHD, the fact that I sat in the IMAX with rapt attention never looking away from the screen speaks volumes. A brilliant movie."
@reganmccarthy8409,3 weeks ,"I’ve never felt so glued to a screen as I did with this movie. Without a doubt my favourite movie from Nolan, and actually one of my favourite movies of all time. This was an experience to see in theatres. Absolutely incredible."
@mauientertainment4665,2 weeks ,You know a Movie is good when you come back to the Trailers.
@astha_yadav,3 weeks  ,"This film moved me to tears, the life and story of Oppenheimer, how well it was all presented, and how it all coincided at the end.
What struck me the most was the portrayal of his feelings and thoughts after the bomb was dropped. How he looked in the audience of people applauding and laughing for at least one more person to be as horrified as him. How he let them tear his life apart by pieces as to punish himself, but in the end as Einstein said ""After they have punished you enough, they will call you, award you and say all is forgiven, just remember it will all be for them, not for you."""
@tsaiyungchien1053,6 days ,"This movie really makes you feel that if you want to achieve something, you've got to be all in, focusing on the right stuff and making friends who are into the same thing"
@bigjim5423,3 months  ,"Christopher Nolan, Cillian Murphy, a crucial moment in humanity's history...How can this not be epic?"
@livi_2259,8 days ,"Me and my friends loved this movie. Wouldn't recommend it to people who aren't passionate about science or don't like complicated movies,that require a lot of focus to be understood. It was also pretty emotional, I started crying in the end. One of the best movies I've seen."
@lukedaley17,3 weeks ,Saw this in cinemas. As a Nolan fan I have to say this movie blew me away. The scenes running up to the atom bomb was gripping. This movie is Christopher Nolan at his very best.
@BaraMatahariPagi,2 weeks ,Amazing how almost every line in this film can be a quote of its own. Such masterful dialogue writing!
@everydayfinanceyt,4 weeks  ,My mind is blown. I think Oppenheimer was one of Nolan's best... although there are many to consider. The storytelling and acting are top-notch. It could be the best movie I've ever seen.
@solelectra,2 weeks ,"The cast, the script, the cinematography  - A MASTERPIECE. Highly recommend this movie,"
@braken8642,3 months ,Cillian's eyes staring into space transfer so much meaning and emotion.  Unbelievable actor.
@oehab.t,7 days ,"We've been sad, and my wife cried at the cinema because of this movie. It's so sad to see what people can do to other people through wars. Sending love to Christopher Nolan from Egypt."
@benmabie6069,3 weeks ,"Just watched this film in IMAX last night. One of the best movies I have ever seen and seeing it in IMAX definitely added to it. The acting was flawless and the lead up to the explosion made it feel like you were actually there during the time period. Remember people, it is supposed to be a documentary about the complex life of Oppenheimer soo it may be slow at some periods but regardless, it was fantastic!"
@RanGame,2 weeks ,"The movie was absolutely amazing, and even saying that is an understatement, and a big understatement. The music, scenes, story, everything about the movie was perfect. Christopher Nolan made a timeless masterpiece that I will always remember"
@solemnbassoon8293,3 weeks ,This may be one of the best movie I’ve ever seen. The way it was put together and the way it just changes your perspective on how life is so precious is just amazing! The silence when the bomb explodes is also horrifyingly great! Absolute Masterpiece.
